Name, Headquarters, Address, Phone, Website
"Cramer, Johnson, Wiggins & Associates (CJW & Associates)","Orlando, Florida, United States","12650 Ingenuity Dr, Orlando, FL 32826, United States","(407) 849-0044","http://www.cjw-assoc.com/",
".decimal, Inc.","Sanford, Florida, United States","121 Central Park Pl, Sanford, FL 32771, United States","(407) 330-3300","http://www.dotdecimal.com/",
"(ISC)2 - Tampa Bay Chapter","Tampa, Florida, United States", NULL , NULL , NULL 
"@TravelDeals","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"0Lat","Orlando, Florida, United States", NULL , NULL , NULL 
"0NL9","Miami, Florida, United States", NULL , NULL , NULL 
"1 Nation Technology","Oldsmar, Florida, United States","US-1, Florida, USA","NULL","NULL",
"1.618 Technology","Naples, Florida, United States", NULL , NULL , NULL 
"10East","Jacksonville, Florida, United States", NULL , NULL , NULL 
"110% Play Harder.","Jacksonville Beach, Florida, United States", NULL , NULL , NULL 
"1111 Industries","Largo, Florida, United States", NULL , NULL , NULL 
"123 Employee Co","Hollywood, Florida, United States", NULL , NULL , NULL 
"123 FRUTTY","Orlando, Florida, United States", NULL , NULL , NULL 
"123Deals.com","Kenansville, Florida, United States", NULL , NULL , NULL 
"123GOink.com","Lady Lake, Florida, United States", NULL , NULL , NULL 
"123lumpsum","Fort Lauderdale, Florida, United States", NULL , NULL , NULL 
"12th Avenue Graphics","Miami, Florida, United States","NW 12th Ave, Florida, USA","NULL","NULL",
"13 Guys Named Ed","Safety Harbor, Florida, United States", NULL , NULL , NULL 
"1308 Productions","Miami, Florida, United States", NULL , NULL , NULL 
"1347 Property Insurance Holdings","Tampa, Florida, United States", NULL , NULL , NULL 
"169 ST.","Lake Mary, Florida, United States","169 N Country Club Rd, Lake Mary, FL 32746, United States","(407) 330-4372","http://topoftheline1.com/",
"1800 notify","Miami, Florida, United States", NULL , NULL , NULL 
"1800 PetMeds","Pompano Beach, Florida, United States","420 S Congress Ave #100, Delray Beach, FL 33445, United States","(800) 738-6337","https://www.1800petmeds.com/",
"1CLick3dPrint","Miami, Florida, United States", NULL , NULL , NULL 
"1Sale formerly 1SaleADay","Miami Lakes, Florida, United States", NULL , NULL , NULL 
"1st BridgeHouse","Miami, Florida, United States", NULL , NULL , NULL 
"1st Merchant Funding","Miami, Florida, United States","10800 Biscayne Blvd, Miami, FL 33161, United States","(866) 710-2265","https://www.1stmerchantfunding.com/",
"1st United Bancorp","Boca Raton, Florida, United States","5550 Glades Rd, Boca Raton, FL 33431, United States","(561) 962-1562","http://firstforfunds.com/",
"1stpagelocal","Florida, United States, North America", NULL , NULL , NULL 
"2 Dollar Delivery","Gainesville, Florida, United States", NULL , NULL , NULL 
"20th Century Records","Crawfordville, Florida, United States", NULL , NULL , NULL 
"21st Century Care Providers","Bradenton, Florida, United States","4571 Colonial Blvd, Fort Myers, FL 33966, United States","(888) 850-1622","http://21stcenturycare.org/",
"21st Century Oncology","Fort Myers, Florida, United States","8931 Colonial Center Dr #100, Fort Myers, FL 33905, United States","(239) 936-0382","NULL",
"22 Days Nutrition","Miami, Florida, United States", NULL , NULL , NULL 
"24 Hour Pro Muscle Gym","Rockledge, Florida, United States", NULL , NULL , NULL 
"249Labs Inc","Tampa, Florida, United States", NULL , NULL , NULL 
