"id","tagged_id","tagged_type","name","slug","uses","created_at","updated_at","deleted_at","synonyms"
1,1,"App\\Model\\Location","Tampa Bay","tampa-bay",7133,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,"Tampa, St. Petersburg, St. Pete, Clearwater, Brandon, Spring Hill, Apollo Beach, Bayonet Point, Bloomingdale, Citrus Park, Cheval, Dunedin, Egypt Lake-Leto, East Lake, East Lake-Orient Park, Elfers, Fish Hawk, Greater Carrollwood, Greater Northdale, Gulfport, Holiday, Hudson, Jasmine Estates, Keystone, Lake Magdalene, Land O' Lakes, Largo, Lealman, Lutz, New Port Richey, Mango, Oldsmar, Palm Harbor, Palm River-Clair Mel, Pinellas Park, Plant City, Riverview, Safety Harbor, Shady Hills, Seminole, Sun Center, Tarpon Springs, Temple Terrace, Thonotosassa, Town 'n' Country, Trinity, Valrico, Wesley Chapel, West Lealman, Westchase, Zephyrhills"
2,2,"App\\Model\\Location","Jacksonville","jacksonville",1479,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,NULL
3,3,"App\\Model\\Location","Miami","miami",4722,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,NULL
4,4,"App\\Model\\Location","Orlando","orlando",3289,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,NULL
5,5,"App\\Model\\Location","Panhandle","panhandle",926,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,NULL
6,6,"App\\Model\\Location","Tallahassee","tallahassee",NULL,"2018-03-12 18:14:21","2018-06-15 16:11:19","2018-06-15 16:11:19",NULL
7,7,"App\\Model\\Location","Fort Myers","fort-myers",1321,"2018-03-12 18:14:21","2019-10-08 13:48:08",NULL,NULL
8,8,"App\\Model\\Location","Palm Beach","palm-beach",2065,"2018-03-12 18:14:21","2019-10-08 13:48:09",NULL,NULL
9,1,"App\\Model\\Technology","Agriculture & Farming","agriculture-farming",449,"2018-03-12 18:14:21","2019-09-18 17:58:35",NULL,"hydroponics, organic"
10,2,"App\\Model\\Technology","AI & Machine Learning","ai-machine-learning",8878,"2018-03-12 18:14:21","2019-09-18 17:58:35",NULL,"AI, Machine learning, artificial intelligence, neural network, Tensor, TensorFlow, Keras, deep learning, DeepMind, DeepLens, SageMaker, training, predictive analytics, "
